ID,Scientific,ScientificPred0,CommonPred0,ProbPred0,ScientificPred1,CommonPred1,ProbPred1,ScientificPred2,CommonPred2,ProbPred2,ScientificPred3,CommonPred3,ProbPred3,ScientificPred4,CommonPred4,ProbPred4
5/32664235,Falco peregrinus,Falco peregrinus,Peregrine Falcon,46.19,Accipiter cooperii,Cooper's Hawk,4.69,Falco columbarius,Merlin,2.78,Falco rufigularis,Bat Falcon,2.56,Accipiter striatus,Sharp shinned Hawk,2.49
7/32664317,Falco peregrinus,Falco peregrinus,Peregrine Falcon,94.31,Falco rufigularis,Bat Falcon,0.61,Accipiter nisus,Eurasian Sparrowhawk,0.44,Falco sparverius,American Kestrel,0.43,Falco columbarius,Merlin,0.27
6/32664316,Falco peregrinus,Progne subis,Purple Martin,6.44,Columba livia,Rock Pigeon,2.33,Falco peregrinus,Peregrine Falcon,1.73,Mimus polyglottos,Northern Mockingbird,1.45,Corvus brachyrhynchos,American Crow,1.42
5/32663985,Falco peregrinus,Falco peregrinus,Peregrine Falcon,97.04,Falco sparverius,American Kestrel,0.37,Accipiter nisus,Eurasian Sparrowhawk,0.34,Falco rufigularis,Bat Falcon,0.27,Falco columbarius,Merlin,0.14
4/32663984,Falco peregrinus,Falco peregrinus,Peregrine Falcon,89.47,Accipiter nisus,Eurasian Sparrowhawk,0.97,Falco sparverius,American Kestrel,0.89,Surnia ulula,Northern Hawk Owl,0.82,Falco rufigularis,Bat Falcon,0.62
9/32664629,Falco peregrinus,Falco peregrinus,Peregrine Falcon,21.6,Columba livia,Rock Pigeon,4.97,Progne subis,Purple Martin,3.54,Myiopsitta monachus,Monk Parakeet,3.18,Corvus monedula,Eurasian Jackdaw,3.11
8/32664628,Falco peregrinus,Falco peregrinus,Peregrine Falcon,13.15,Corvus monedula,Eurasian Jackdaw,12.24,Myiopsitta monachus,Monk Parakeet,9.25,Passer domesticus,House Sparrow,3.35,Falco columbarius,Merlin,2.64
4/32662264,Falco peregrinus,Falco peregrinus,Peregrine Falcon,90.99,Falco femoralis,Aplomado Falcon,1.06,Accipiter cooperii,Cooper's Hawk,0.99,Egretta novaehollandiae,White faced Heron,0.83,Accipiter striatus,Sharp shinned Hawk,0.44
3/32662263,Falco peregrinus,Falco peregrinus,Peregrine Falcon,90.83,Falco subbuteo,Eurasian Hobby,1.4,Falco femoralis,Aplomado Falcon,1.36,Falco rufigularis,Bat Falcon,0.49,Falco sparverius,American Kestrel,0.43
2/32662262,Falco peregrinus,Poecile carolinensis,Carolina Chickadee,11.63,Egretta novaehollandiae,White faced Heron,8.85,Falco peregrinus,Peregrine Falcon,7.09,Hemiphaga novaeseelandiae,New Zealand Pigeon,4.5,Gymnorhina tibicen,Australian Magpie,4.17
5/32660645,Falco peregrinus,Falco peregrinus,Peregrine Falcon,83.35,Accipiter cooperii,Cooper's Hawk,1.85,Falco sparverius,American Kestrel,1.58,Falco tinnunculus,Eurasian Kestrel,1.31,Falco rufigularis,Bat Falcon,1.12
0/32659650,Falco peregrinus,Falco peregrinus,Peregrine Falcon,96.17,Falco tinnunculus,Eurasian Kestrel,0.59,Falco sparverius,American Kestrel,0.5,Accipiter nisus,Eurasian Sparrowhawk,0.13,Falco mexicanus,Prairie Falcon,0.12
1/32659471,Falco peregrinus,Falco peregrinus,Peregrine Falcon,97.5,Falco tinnunculus,Eurasian Kestrel,0.29,Falco sparverius,American Kestrel,0.2,Accipiter nisus,Eurasian Sparrowhawk,0.16,Falco mexicanus,Prairie Falcon,0.11
0/32659470,Falco peregrinus,Falco peregrinus,Peregrine Falcon,88.39,Accipiter nisus,Eurasian Sparrowhawk,1.39,Accipiter cooperii,Cooper's Hawk,0.69,Progne subis,Purple Martin,0.53,Petrochelidon pyrrhonota,Cliff Swallow,0.48
9/32659469,Falco peregrinus,Falco peregrinus,Peregrine Falcon,84.83,Petrochelidon pyrrhonota,Cliff Swallow,3.35,Progne subis,Purple Martin,1.47,Hirundo rustica,Barn Swallow,1.27,Petrochelidon fulva,Cave Swallow,0.87
4/32672644,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,57.58,Gallinula galeata,Common Gallinule,20.24,Gallinula tenebrosa,Dusky Moorhen,13.46,Porphyrio melanotus melanotus,Pukeko,0.32,Haematopus unicolor,Variable Oystercatcher,0.27
7/32673727,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,60.08,Gallinula galeata,Common Gallinule,27.68,Gallinula tenebrosa,Dusky Moorhen,8.83,Porphyrio martinicus,american purple gallinule,0.12,Porzana carolina,Sora,0.1
7/32670047,Gallinula chloropus,Chlidonias niger,Black Tern,6.59,Gallinula galeata,Common Gallinule,5.07,Gallinula chloropus,Eurasian Moorhen,3.9,Butorides virescens,Green Heron,3.59,Cepphus columba,Pigeon Guillemot,2.5
5/32665785,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,44.57,Gallinula galeata,Common Gallinule,28.63,Gallinula tenebrosa,Dusky Moorhen,22.15,Acridotheres tristis,Common Myna,0.11,Porphyrio melanotus melanotus,Pukeko,0.1
9/32665679,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,38.8,Gallinula tenebrosa,Dusky Moorhen,30.85,Gallinula galeata,Common Gallinule,15.6,Porphyrio martinicus,american purple gallinule,1.55,Porphyrio melanotus melanotus,Pukeko,0.85
3/32665633,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,53.11,Gallinula galeata,Common Gallinule,39.48,Gallinula tenebrosa,Dusky Moorhen,3.74,Fulica americana,American Coot,0.13,Zenaida asiatica,White winged Dove,0.11
3/32665553,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,67.58,Gallinula galeata,Common Gallinule,26.05,Gallinula tenebrosa,Dusky Moorhen,4.01,Porphyrio martinicus,american purple gallinule,0.09,Fulica americana,American Coot,0.08
8/32665538,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,63.58,Gallinula galeata,Common Gallinule,31.2,Gallinula tenebrosa,Dusky Moorhen,3.22,Fulica americana,American Coot,0.06,Melanitta fusca,White winged Scoter,0.05
7/32665467,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,48.59,Gallinula galeata,Common Gallinule,38.78,Gallinula tenebrosa,Dusky Moorhen,5.83,Fulica atra,Eurasian Coot,1.55,Fulica americana,American Coot,0.77
6/32661096,Gallinula chloropus,Tadorna variegata,Paradise Shelduck,11.09,Cairina moschata,Muscovy Duck,4.69,Porphyrio poliocephalus,Grey headed Swamphen,3.21,Anas platyrhynchos,Mallard,2.71,Anas chlorotis,Brown Teal,2.37
5/32658825,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,64.47,Gallinula galeata,Common Gallinule,25.53,Gallinula tenebrosa,Dusky Moorhen,2.1,Melanitta fusca,White winged Scoter,0.39,Acridotheres tristis,Common Myna,0.35
9/32657179,Gallinula chloropus,Gymnorhina tibicen,Australian Magpie,26.13,Porphyrio melanotus melanotus,Pukeko,4.46,Tadorna variegata,Paradise Shelduck,3.54,Agelaius tricolor,Tricolored Blackbird,2.47,Columba livia,Rock Pigeon,1.4
5/32656505,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,50.43,Gallinula galeata,Common Gallinule,32.92,Gallinula tenebrosa,Dusky Moorhen,13.24,Fulica americana,American Coot,0.1,Fulica atra,Eurasian Coot,0.08
6/32654576,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,51.83,Gallinula galeata,Common Gallinule,36.58,Gallinula tenebrosa,Dusky Moorhen,5.36,Porphyrio martinicus,american purple gallinule,1.47,Porzana carolina,Sora,0.41
5/32654575,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,60.96,Gallinula galeata,Common Gallinule,33.46,Gallinula tenebrosa,Dusky Moorhen,2.65,Fulica americana,American Coot,0.14,Porphyrio martinicus,american purple gallinule,0.12
3/32654043,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,70.88,Gallinula galeata,Common Gallinule,20.7,Gallinula tenebrosa,Dusky Moorhen,1.25,Zenaida asiatica,White winged Dove,0.92,Acridotheres tristis,Common Myna,0.43
4/32652834,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,47.95,Gallinula galeata,Common Gallinule,24.42,Gallinula tenebrosa,Dusky Moorhen,2.99,Haematopus palliatus,American Oystercatcher,1.84,Porphyrio melanotus melanotus,Pukeko,0.91
2/32652462,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,63.69,Gallinula galeata,Common Gallinule,24.21,Gallinula tenebrosa,Dusky Moorhen,4.66,Porzana carolina,Sora,0.6,Netta rufina,Red crested Pochard,0.37
7/32652107,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,82.42,Gallinula galeata,Common Gallinule,5.85,Gallinula tenebrosa,Dusky Moorhen,4.74,Acridotheres tristis,Common Myna,1.38,Gymnorhina tibicen,Australian Magpie,0.64
5/32650875,Gallinula chloropus,Callipepla californica,California Quail,6.07,Gallinula chloropus,Eurasian Moorhen,4.43,Fulica americana,American Coot,3.4,Gallinula galeata,Common Gallinule,3.28,Anas platyrhynchos,Mallard,2.96
6/32661316,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,64.72,Gallinula galeata,Common Gallinule,25.69,Gallinula tenebrosa,Dusky Moorhen,4.76,Porzana carolina,Sora,0.3,Acridotheres tristis,Common Myna,0.2
1/32642891,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,57.18,Gallinula galeata,Common Gallinule,33.27,Gallinula tenebrosa,Dusky Moorhen,4.23,Porzana carolina,Sora,0.26,Acridotheres tristis,Common Myna,0.19
3/32637693,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,53.7,Gallinula galeata,Common Gallinule,33.56,Gallinula tenebrosa,Dusky Moorhen,9.35,Porphyrio martinicus,american purple gallinule,0.12,Porzana carolina,Sora,0.08
5/32649565,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,71.89,Gallinula galeata,Common Gallinule,17.3,Gallinula tenebrosa,Dusky Moorhen,4.6,Fulica atra,Eurasian Coot,0.25,Netta rufina,Red crested Pochard,0.24
9/32669439,Fulica atra,Fulica atra,Eurasian Coot,95.26,Fulica americana,American Coot,2.81,Gallinula tenebrosa,Dusky Moorhen,0.18,Hymenolaimus malacorhynchos,Blue Duck,0.12,Gallinula galeata,Common Gallinule,0.05
9/32673739,Fulica atra,Fulica americana,American Coot,50.61,Fulica atra,Eurasian Coot,45.01,Gallinula tenebrosa,Dusky Moorhen,0.89,Gallinula galeata,Common Gallinule,0.68,Gallinula chloropus,Eurasian Moorhen,0.45
3/32669973,Fulica atra,Fulica atra,Eurasian Coot,90.73,Fulica americana,American Coot,3.5,Gallinula tenebrosa,Dusky Moorhen,0.3,Gallinula galeata,Common Gallinule,0.28,Gallinula chloropus,Eurasian Moorhen,0.15
2/32669972,Fulica atra,Fulica atra,Eurasian Coot,90.16,Fulica americana,American Coot,3.2,Gallinula galeata,Common Gallinule,0.88,Gallinula tenebrosa,Dusky Moorhen,0.8,Gallinula chloropus,Eurasian Moorhen,0.35
5/32666965,Fulica atra,Fulica atra,Eurasian Coot,73.59,Fulica americana,American Coot,21.25,Gallinula tenebrosa,Dusky Moorhen,0.38,Gallinula galeata,Common Gallinule,0.35,Hymenolaimus malacorhynchos,Blue Duck,0.2
6/32665946,Fulica atra,Fulica atra,Eurasian Coot,97.78,Fulica americana,American Coot,1.18,Gallinula tenebrosa,Dusky Moorhen,0.06,Gallinula galeata,Common Gallinule,0.03,Gallinula chloropus,Eurasian Moorhen,0.02
8/32665928,Fulica atra,Fulica americana,American Coot,47.02,Fulica atra,Eurasian Coot,32.52,Numida meleagris,Helmeted Guineafowl,1.54,Porphyrio melanotus melanotus,Pukeko,1.2,Chenonetta jubata,Australian Wood Duck,0.96
3/32665743,Fulica atra,Fulica atra,Eurasian Coot,94.03,Fulica americana,American Coot,3.77,Gallinula tenebrosa,Dusky Moorhen,0.3,Gallinula galeata,Common Gallinule,0.13,Gallinula chloropus,Eurasian Moorhen,0.08
8/32665548,Fulica atra,Fulica atra,Eurasian Coot,67.87,Fulica americana,American Coot,16.65,Gallinula tenebrosa,Dusky Moorhen,7.33,Gallinula galeata,Common Gallinule,1.05,Gallinula chloropus,Eurasian Moorhen,0.86
8/32660268,Fulica atra,Fulica atra,Eurasian Coot,92.73,Fulica americana,American Coot,6.13,Gallinula tenebrosa,Dusky Moorhen,0.08,Gallinula galeata,Common Gallinule,0.04,Melanitta perspicillata,Surf Scoter,0.02
9/32657449,Fulica atra,Aythya novaeseelandiae,New Zealand Scaup,49.35,Aythya americana,Redhead,12.05,Aythya valisineria,Canvasback,7.95,Aythya affinis,Lesser Scaup,4.55,Fulica americana,American Coot,3.61
2/32655692,Fulica atra,Fulica atra,Eurasian Coot,81.31,Fulica americana,American Coot,10.47,Gallinula galeata,Common Gallinule,0.52,Gallinula chloropus,Eurasian Moorhen,0.2,Gallinula tenebrosa,Dusky Moorhen,0.18
7/32654437,Fulica atra,Fulica atra,Eurasian Coot,87.46,Fulica americana,American Coot,9.92,Gallinula galeata,Common Gallinule,0.09,Hymenolaimus malacorhynchos,Blue Duck,0.07,Gallinula tenebrosa,Dusky Moorhen,0.07
6/32654176,Fulica atra,Fulica atra,Eurasian Coot,92.45,Fulica americana,American Coot,4.95,Gallinula tenebrosa,Dusky Moorhen,0.32,Gallinula galeata,Common Gallinule,0.26,Gallinula chloropus,Eurasian Moorhen,0.17
1/32651641,Fulica atra,Fulica americana,American Coot,68.04,Fulica atra,Eurasian Coot,21.51,Dendrocygna viduata,White faced Whistling Duck,1.88,Aythya americana,Redhead,1.05,Aythya affinis,Lesser Scaup,0.66
7/32650617,Fulica atra,Fulica atra,Eurasian Coot,80.37,Fulica americana,American Coot,13.66,Gallinula tenebrosa,Dusky Moorhen,0.15,Gallinula galeata,Common Gallinule,0.12,Aythya americana,Redhead,0.12
2/32650562,Fulica atra,Fulica atra,Eurasian Coot,81.04,Fulica americana,American Coot,16.35,Gallinula galeata,Common Gallinule,0.12,Gallinula tenebrosa,Dusky Moorhen,0.08,Branta hutchinsii,Cackling Goose,0.04
6/32649656,Fulica atra,Fulica atra,Eurasian Coot,70.73,Fulica americana,American Coot,25.74,Aythya novaeseelandiae,New Zealand Scaup,0.1,Hymenolaimus malacorhynchos,Blue Duck,0.08,Tachybaptus ruficollis,Little Grebe,0.08
3/32667353,Fulica atra,Fulica atra,Eurasian Coot,91.12,Fulica americana,American Coot,7.16,Gallinula tenebrosa,Dusky Moorhen,0.26,Gallinula galeata,Common Gallinule,0.14,Gallinula chloropus,Eurasian Moorhen,0.03
7/32664367,Fulica atra,Fulica atra,Eurasian Coot,94.72,Fulica americana,American Coot,3.3,Gallinula tenebrosa,Dusky Moorhen,0.04,Gallinula galeata,Common Gallinule,0.04,Gallinula chloropus,Eurasian Moorhen,0.03
3/32646193,Fulica atra,Fulica atra,Eurasian Coot,82.36,Fulica americana,American Coot,13.08,Gallinula tenebrosa,Dusky Moorhen,0.15,Gallinula galeata,Common Gallinule,0.07,Branta hutchinsii,Cackling Goose,0.07
1/32642951,Fulica atra,Fulica atra,Eurasian Coot,88.67,Fulica americana,American Coot,9.84,Gallinula galeata,Common Gallinule,0.18,Gallinula tenebrosa,Dusky Moorhen,0.17,Gallinula chloropus,Eurasian Moorhen,0.08
2/32641932,Fulica atra,Fulica atra,Eurasian Coot,59.87,Fulica americana,American Coot,36.18,Gallinula tenebrosa,Dusky Moorhen,0.36,Gallinula galeata,Common Gallinule,0.17,Hymenolaimus malacorhynchos,Blue Duck,0.08
2/32641372,Fulica atra,Fulica atra,Eurasian Coot,82.88,Fulica americana,American Coot,7.64,Gallinula galeata,Common Gallinule,1.16,Gallinula tenebrosa,Dusky Moorhen,0.9,Gallinula chloropus,Eurasian Moorhen,0.62
2/32663752,Grus grus,Grus grus,Common Crane,72.1,Grus americana,Whooping Crane,11.96,Antigone canadensis,Sandhill Crane,1.43,Cygnus columbianus,Tundra Swan,0.67,Egretta novaehollandiae,White faced Heron,0.66
7/32663747,Grus grus,Grus grus,Common Crane,79.63,Antigone canadensis,Sandhill Crane,5.64,Grus americana,Whooping Crane,4.45,Cygnus columbianus,Tundra Swan,1.15,Branta canadensis,Canada Goose,0.85
7/32656577,Grus grus,Grus grus,Common Crane,89.97,Grus americana,Whooping Crane,4.98,Antigone canadensis,Sandhill Crane,2.74,Jabiru mycteria,Jabiru,0.11,Ardea cinerea,Grey Heron,0.08
6/32656576,Grus grus,Grus grus,Common Crane,85.32,Antigone canadensis,Sandhill Crane,5.95,Grus americana,Whooping Crane,5.08,Ardea cinerea,Grey Heron,0.18,Egretta novaehollandiae,White faced Heron,0.15
6/32656476,Grus grus,Grus grus,Common Crane,84.6,Grus americana,Whooping Crane,10.89,Antigone canadensis,Sandhill Crane,1.57,Ardea cinerea,Grey Heron,0.14,Ciconia ciconia,White Stork,0.08
5/32656475,Grus grus,Grus grus,Common Crane,85.53,Grus americana,Whooping Crane,12.47,Antigone canadensis,Sandhill Crane,0.36,Cygnus columbianus,Tundra Swan,0.07,Jabiru mycteria,Jabiru,0.05
4/32656474,Grus grus,Grus grus,Common Crane,84.64,Grus americana,Whooping Crane,9.82,Antigone canadensis,Sandhill Crane,3.36,Ciconia ciconia,White Stork,0.13,Ardea cinerea,Grey Heron,0.06
3/32656473,Grus grus,Grus grus,Common Crane,79.99,Grus americana,Whooping Crane,11.4,Antigone canadensis,Sandhill Crane,5.93,Ciconia ciconia,White Stork,0.17,Jabiru mycteria,Jabiru,0.08
1/32657901,Grus grus,Grus grus,Common Crane,75.94,Grus americana,Whooping Crane,12.76,Antigone canadensis,Sandhill Crane,8.82,Balearica regulorum,Grey Crowned Crane,0.11,Podiceps cristatus,Great Crested Grebe,0.1
0/32657900,Grus grus,Grus grus,Common Crane,78.8,Grus americana,Whooping Crane,11.38,Antigone canadensis,Sandhill Crane,8.06,Ciconia ciconia,White Stork,0.12,Balearica regulorum,Grey Crowned Crane,0.07
5/32663765,Grus grus,Grus grus,Common Crane,63.32,Grus americana,Whooping Crane,35.05,Antigone canadensis,Sandhill Crane,0.72,Jabiru mycteria,Jabiru,0.04,Balearica regulorum,Grey Crowned Crane,0.04
8/32663778,Grus grus,Grus grus,Common Crane,64.91,Grus americana,Whooping Crane,21.15,Antigone canadensis,Sandhill Crane,5.25,Balearica regulorum,Grey Crowned Crane,0.55,Ciconia ciconia,White Stork,0.49
9/32638629,Grus grus,Grus grus,Common Crane,53.95,Grus americana,Whooping Crane,25.5,Antigone canadensis,Sandhill Crane,9.02,Balearica regulorum,Grey Crowned Crane,0.51,Podiceps cristatus,Great Crested Grebe,0.25
3/32638623,Grus grus,Grus grus,Common Crane,77.73,Grus americana,Whooping Crane,19.69,Antigone canadensis,Sandhill Crane,0.87,Balearica regulorum,Grey Crowned Crane,0.12,Sagittarius serpentarius,Secretarybird,0.04
9/32638619,Grus grus,Grus grus,Common Crane,66.86,Grus americana,Whooping Crane,30.23,Antigone canadensis,Sandhill Crane,0.4,Branta canadensis,Canada Goose,0.26,Balearica regulorum,Grey Crowned Crane,0.15
8/32638618,Grus grus,Grus grus,Common Crane,65.23,Grus americana,Whooping Crane,32.6,Antigone canadensis,Sandhill Crane,0.37,Branta canadensis,Canada Goose,0.23,Balearica regulorum,Grey Crowned Crane,0.12
7/32638617,Grus grus,Grus grus,Common Crane,71.01,Grus americana,Whooping Crane,23.49,Antigone canadensis,Sandhill Crane,1.83,Sagittarius serpentarius,Secretarybird,0.2,Balearica regulorum,Grey Crowned Crane,0.09
8/32639708,Grus grus,Grus grus,Common Crane,52.12,Grus americana,Whooping Crane,13.36,Antigone canadensis,Sandhill Crane,5.16,Meleagris gallopavo,Wild Turkey,1.58,Meleagris gallopavo silvestris,Eastern Wild Turkey,0.8
3/32639703,Grus grus,Grus grus,Common Crane,62.25,Grus americana,Whooping Crane,18.38,Antigone canadensis,Sandhill Crane,1.9,Meleagris gallopavo,Wild Turkey,0.51,Columba livia domestica,Feral Pigeon,0.27
5/32635565,Grus grus,Grus grus,Common Crane,49.02,Grus americana,Whooping Crane,13.5,Cygnus columbianus,Tundra Swan,5.22,Chen caerulescens,snow goose,4.81,Chen rossii,ross's goose,2.61
9/32625729,Grus grus,Mycteria americana,Wood Stork,15.16,Haliaeetus leucogaster,White bellied Sea Eagle,7.11,Grus americana,Whooping Crane,5.82,Grus grus,Common Crane,5.7,Sarcoramphus papa,King Vulture,2.71
9/32622989,Grus grus,Eudyptula minor,Little Penguin,6.49,Cygnus cygnus,Whooper Swan,3.18,Asio otus,Long eared Owl,2.92,Cygnus atratus,Black Swan,2.74,Asio flammeus,Short eared Owl,2.11
6/32603086,Grus grus,Antigone canadensis,Sandhill Crane,18.01,Grus grus,Common Crane,14.27,Grus americana,Whooping Crane,4.04,Branta canadensis,Canada Goose,2.66,Dendrocygna bicolor,Fulvous Whistling Duck,2.16
1/32576451,Grus grus,Grus grus,Common Crane,90.44,Grus americana,Whooping Crane,6.13,Antigone canadensis,Sandhill Crane,2.08,Branta canadensis,Canada Goose,0.05,Gyps africanus,White backed Vulture,0.03
9/32674199,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,68.0,Vanellus vanellus,Northern Lapwing,9.04,Haematopus finschi,South Island Oystercatcher,3.08,Rynchops niger,Black Skimmer,2.66,Himantopus mexicanus,Black necked Stilt,2.33
8/32674198,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,83.18,Haematopus finschi,South Island Oystercatcher,8.82,Haematopus unicolor,Variable Oystercatcher,1.31,Vanellus vanellus,Northern Lapwing,0.82,Rynchops niger,Black Skimmer,0.42
7/32674197,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,59.04,Rynchops niger,Black Skimmer,10.12,Vanellus vanellus,Northern Lapwing,4.83,Haematopus finschi,South Island Oystercatcher,4.24,Himantopus mexicanus,Black necked Stilt,2.5
6/32674196,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,96.08,Haematopus finschi,South Island Oystercatcher,1.68,Haematopus unicolor,Variable Oystercatcher,0.65,Haematopus palliatus,American Oystercatcher,0.21,Vanellus vanellus,Northern Lapwing,0.19
0/32674160,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,63.33,Haematopus finschi,South Island Oystercatcher,13.61,Haematopus unicolor,Variable Oystercatcher,8.95,Haematopus palliatus,American Oystercatcher,8.0,Haematopus bachmani,Black Oystercatcher,1.16
9/32674159,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,91.82,Haematopus finschi,South Island Oystercatcher,4.41,Haematopus unicolor,Variable Oystercatcher,2.02,Haematopus palliatus,American Oystercatcher,0.3,Haematopus bachmani,Black Oystercatcher,0.16
8/32674158,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,65.5,Haematopus finschi,South Island Oystercatcher,8.96,Haematopus unicolor,Variable Oystercatcher,3.92,Haematopus palliatus,American Oystercatcher,2.22,Vanellus vanellus,Northern Lapwing,1.96
7/32674157,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,77.43,Haematopus finschi,South Island Oystercatcher,7.88,Haematopus unicolor,Variable Oystercatcher,2.76,Haematopus palliatus,American Oystercatcher,2.64,Haematopus bachmani,Black Oystercatcher,1.23
6/32674156,Haematopus ostralegus,Vanellus vanellus,Northern Lapwing,6.56,Phalacrocorax auritus,Double crested Cormorant,5.33,Phalacrocorax carbo,Great Cormorant,5.1,Phalacrocorax varius varius,New Zealand Pied Shag,4.51,Branta canadensis,Canada Goose,3.0
6/32674136,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,87.44,Haematopus finschi,South Island Oystercatcher,4.04,Haematopus unicolor,Variable Oystercatcher,1.41,Vanellus vanellus,Northern Lapwing,1.03,Haematopus palliatus,American Oystercatcher,0.93
5/32674135,Haematopus ostralegus,Vanellus vanellus,Northern Lapwing,43.82,Haematopus ostralegus,Eurasian Oystercatcher,29.17,Vanellus chilensis,Southern Lapwing,2.48,Haematopus finschi,South Island Oystercatcher,1.91,Haematopus unicolor,Variable Oystercatcher,1.3
5/32670575,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,92.46,Haematopus palliatus,American Oystercatcher,2.09,Haematopus unicolor,Variable Oystercatcher,0.95,Haematopus bachmani,Black Oystercatcher,0.81,Haematopus finschi,South Island Oystercatcher,0.7
6/32667846,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,60.05,Haematopus finschi,South Island Oystercatcher,13.56,Haematopus palliatus,American Oystercatcher,10.16,Haematopus bachmani,Black Oystercatcher,7.23,Haematopus unicolor,Variable Oystercatcher,3.77
8/32675238,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,44.47,Haematopus finschi,South Island Oystercatcher,33.54,Haematopus palliatus,American Oystercatcher,3.74,Haematopus bachmani,Black Oystercatcher,3.51,Haematopus unicolor,Variable Oystercatcher,2.87
9/32657479,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,61.92,Haematopus palliatus,American Oystercatcher,18.19,Haematopus finschi,South Island Oystercatcher,6.98,Haematopus unicolor,Variable Oystercatcher,3.91,Haematopus bachmani,Black Oystercatcher,2.91
8/32657478,Haematopus ostralegus,Haematopus finschi,South Island Oystercatcher,91.76,Haematopus palliatus,American Oystercatcher,4.68,Haematopus unicolor,Variable Oystercatcher,1.43,Haematopus ostralegus,Eurasian Oystercatcher,0.58,Haematopus bachmani,Black Oystercatcher,0.23
4/32658864,Haematopus ostralegus,Haematopus finschi,South Island Oystercatcher,63.95,Haematopus ostralegus,Eurasian Oystercatcher,18.34,Haematopus unicolor,Variable Oystercatcher,4.76,Haematopus palliatus,American Oystercatcher,3.07,Haematopus bachmani,Black Oystercatcher,1.35
3/32658863,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,68.04,Haematopus palliatus,American Oystercatcher,12.13,Haematopus finschi,South Island Oystercatcher,6.17,Haematopus bachmani,Black Oystercatcher,4.6,Haematopus unicolor,Variable Oystercatcher,2.91
1/32654851,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,57.48,Haematopus palliatus,American Oystercatcher,6.18,Vanellus vanellus,Northern Lapwing,5.3,Himantopus mexicanus,Black necked Stilt,5.26,Rynchops niger,Black Skimmer,1.08
0/32654430,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,81.77,Haematopus palliatus,American Oystercatcher,6.41,Haematopus bachmani,Black Oystercatcher,4.78,Haematopus unicolor,Variable Oystercatcher,1.79,Haematopus finschi,South Island Oystercatcher,1.42
7/32653487,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,81.33,Haematopus bachmani,Black Oystercatcher,7.19,Haematopus palliatus,American Oystercatcher,5.08,Haematopus unicolor,Variable Oystercatcher,1.55,Haematopus finschi,South Island Oystercatcher,1.24
6/32653486,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,60.78,Haematopus palliatus,American Oystercatcher,13.68,Haematopus bachmani,Black Oystercatcher,9.6,Haematopus finschi,South Island Oystercatcher,4.02,Haematopus unicolor,Variable Oystercatcher,2.76
2/32664342,Haematopus ostralegus,Haematopus ostralegus,Eurasian Oystercatcher,69.27,Haematopus unicolor,Variable Oystercatcher,15.51,Haematopus finschi,South Island Oystercatcher,5.84,Haematopus bachmani,Black Oystercatcher,3.93,Haematopus palliatus,American Oystercatcher,2.34
